epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1531,3.15237,4.6233,2.02353,0.0555,0.06397,0.01728,0.00545,2.59015,3.752,1.9896,0.0702013,0.00331096,0.00331096
2,105.721,2.78361,4.14836,1.76243,0.09283,0.01256,0.00504,0.00111,3.47536,3.947,2.26155,0.0401356,0.00657852,0.00657852
3,155.305,2.7291,3.8842,1.708,0.10339,0.08399,0.02587,0.0062,2.93474,4.02761,2.0275,0.0100038,0.00978007,0.00978007
4,207.97,2.83568,3.95375,1.73671,0.0033,0.18838,0.0023,0.00076,3.17004,3.94987,2.50182,0.009703,0.009703,0.009703
5,260.302,2.75084,4.30424,1.71058,0.0457,0.06515,0.00884,0.00286,2.23704,18.3837,1.73653,0.009604,0.009604,0.009604
6,311.087,2.70895,4.07859,1.66003,0.06333,0.10165,0.01543,0.00505,3.10476,4.10536,2.11003,0.009505,0.009505,0.009505
7,362.658,2.66873,4.00583,1.68265,0.00185,0.12912,0.00365,0.00059,3.64338,3.63092,2.74317,0.009406,0.009406,0.009406
8,414.308,2.58451,3.69042,1.59959,0.06287,0.15188,0.02013,0.00777,2.47998,3.54474,1.7918,0.009307,0.009307,0.009307
9,466.323,2.60456,3.64225,1.61305,0.08363,0.15071,0.02854,0.01027,2.43643,3.34925,1.72884,0.009208,0.009208,0.009208
10,516.526,2.5597,3.65779,1.58692,0.08691,0.07418,0.02324,0.00741,2.42725,3.41529,1.70307,0.009109,0.009109,0.009109
11,567.461,2.46061,3.67167,1.52694,0.00908,0.38148,0.03324,0.01211,2.41514,3.32433,1.75588,0.00901,0.00901,0.00901
12,617.65,2.44065,3.49405,1.50197,0.0441,0.40581,0.05602,0.0197,2.28931,3.07264,1.53863,0.008911,0.008911,0.008911
13,669.177,2.46246,3.86161,1.51063,0.08177,0.14325,0.03532,0.01536,2.28103,3.21578,1.67694,0.008812,0.008812,0.008812
14,719.069,2.44253,3.65964,1.51525,0.07693,0.20487,0.039,0.01252,2.67725,3.08292,1.98184,0.008713,0.008713,0.008713
15,771.27,2.37878,3.46294,1.49155,0.08331,0.14757,0.03255,0.01281,2.31861,3.21089,1.65521,0.008614,0.008614,0.008614
16,820.466,2.35926,3.62308,1.48652,0.07295,0.18407,0.0393,0.01596,2.11432,3.24618,1.53895,0.008515,0.008515,0.008515
17,870.771,2.4231,3.43983,1.49213,0.06566,0.23509,0.04583,0.02411,1.9956,3.44581,1.6016,0.008416,0.008416,0.008416
18,920.201,2.32367,3.34266,1.45238,0.0977,0.18838,0.05416,0.02263,2.11587,3.1932,1.66305,0.008317,0.008317,0.008317
19,971.581,2.32442,3.28194,1.47293,0.07712,0.177,0.04194,0.01795,2.04581,3.20084,1.53535,0.008218,0.008218,0.008218
20,1021.8,2.32377,3.17864,1.45267,0.07827,0.14286,0.03749,0.0169,1.92446,3.1507,1.51308,0.008119,0.008119,0.008119
21,1073.43,2.26881,3.17199,1.42935,0.06877,0.1876,0.03903,0.01622,2.00832,3.14149,1.60965,0.00802,0.00802,0.00802
22,1122.93,2.29173,3.3308,1.43967,0.08696,0.2343,0.04971,0.0235,1.92689,3.07141,1.5678,0.007921,0.007921,0.007921
23,1173.98,2.27059,3.20317,1.44969,0.073,0.3387,0.05991,0.02551,2.04945,2.88266,1.56105,0.007822,0.007822,0.007822
24,1223.11,2.23715,3.04628,1.42062,0.08207,0.27943,0.05915,0.02622,1.9034,2.94498,1.50506,0.007723,0.007723,0.007723
